graph_id,user_id,chosen_layout,seconds_spent,is_hard
1,10,kamada_kawai,30.432,1
2,1,neato,8.787,0
3,1,kamada_kawai,8.943,0
4,1,neato,12.278,0
5,1,kamada_kawai,16.167,0
6,1,kamada_kawai,4.835,0
7,2,kamada_kawai,42.089,0
8,2,neato,25.459,0
9,2,fdp,104.288,0
10,2,neato,11.629,0
11,2,kamada_kawai,8.952,0
12,2,kamada_kawai,5.737,0
13,2,kamada_kawai,4.514,0
14,2,neato,31.935,0
15,2,kamada_kawai,350.873,0
16,3,fa2,30.974,0
17,3,sfdp,42.374,0
18,3,fa2,7.224,0
19,3,kamada_kawai,13.773,0
20,3,neato,66.363,0
21,3,kamada_kawai,12.487,0
22,3,neato,29.019,0
23,3,kamada_kawai,27.326,0
24,2,kamada_kawai,4.132,0
25,2,neato,36.194,0
26,2,neato,22.334,0
27,2,kamada_kawai,5.29,0
28,2,kamada_kawai,8.872,0
29,2,kamada_kawai,8.526,0
30,2,neato,6.679,0
31,2,neato,2.578,0
32,2,kamada_kawai,7.059,0
33,2,neato,4.258,0
34,2,kamada_kawai,9.656,0
35,2,fdp,8.702,0
36,2,neato,54.108,0
37,2,kamada_kawai,25.269,0
38,2,neato,9.436,0
39,2,neato,9.756,0
40,2,neato,5.603,0
41,3,neato,25.623,0
42,3,neato,13.663,0
43,3,spring,22.191,0
44,3,fa2,12.731,0
45,3,neato,10.851,0
46,3,neato,7.266,0
47,3,kamada_kawai,8.634,0
48,1,neato,6.791,0
49,1,sfdp,10.14,0
50,1,kamada_kawai,7.005,0
51,3,kamada_kawai,13.466,0
52,3,fdp,15.593,0
53,3,sfdp,32.583,0
54,3,sfdp,17.619,0
55,3,kamada_kawai,5.769,0
56,3,neato,98.212,0
57,3,neato,11.407,0
58,3,kamada_kawai,8.332,0
59,3,neato,12.415,0
60,3,sfdp,12.326,0
61,3,fdp,42.373,0
62,3,neato,39.763,0
63,3,neato,20.342,0
64,3,fa2,2.627,0
65,3,fa2,5.992,0
66,3,kamada_kawai,5.163,0
67,3,kamada_kawai,10.703,0
68,3,kamada_kawai,4.574,0
69,3,kamada_kawai,6.272,0
70,3,neato,7.964,0
71,1,neato,3.592,0
72,1,neato,3.272,0
73,1,kamada_kawai,2.92,0
74,1,kamada_kawai,3.176,0
75,1,kamada_kawai,1.797,0
76,1,neato,2.239,0
77,1,kamada_kawai,2.039,0
78,1,kamada_kawai,1.936,0
79,1,neato,2.781,0
80,1,kamada_kawai,2.689,0
81,1,neato,2.403,0
82,1,neato,15.193,0
83,1,neato,12.43,0
84,1,kamada_kawai,2.392,0
85,1,sfdp,6.037,0
86,1,kamada_kawai,4.158,0
87,1,fdp,3.001,0
88,1,neato,2.53,0
89,1,neato,1.584,0
90,1,kamada_kawai,8.708,0
91,1,neato,19.245,1
92,1,sfdp,8.949,0
93,1,neato,14.233,1
94,1,kamada_kawai,14.237,1
95,1,neato,7.909,0
96,1,fa2,26.119,0
97,1,kamada_kawai,6.138,0
98,1,neato,11.388,0
99,1,kamada_kawai,12.28,1
100,1,kamada_kawai,11.682,0
101,1,neato,11.298,0
102,1,neato,1.956,0
103,1,kamada_kawai,4.199,0
104,1,kamada_kawai,1.717,0
105,1,kamada_kawai,2.027,0
106,1,fdp,2.272,0
107,1,neato,3.453,0
108,1,fa2,1.803,0
109,1,fdp,1.729,0
110,1,kamada_kawai,1.448,0
111,1,neato,2.548,0
112,1,neato,1.969,0
113,1,fdp,3.731,0
114,1,kamada_kawai,2.159,0
115,1,kamada_kawai,2.681,0
116,1,kamada_kawai,2.55,0
117,1,kamada_kawai,3.596,0
118,1,neato,2.522,0
119,1,neato,4.08,0
120,1,kamada_kawai,3.112,0
121,1,kamada_kawai,6.196,0
122,1,kamada_kawai,2.101,0
123,1,fdp,1.565,0
124,1,neato,1.946,0
125,1,neato,2.014,0
126,1,kamada_kawai,1.936,0
127,1,kamada_kawai,2.335,0
128,1,kamada_kawai,2.172,0
129,1,kamada_kawai,1.718,0
130,1,neato,1.862,0
131,1,kamada_kawai,1.701,0
132,1,spring,1.939,0
133,1,kamada_kawai,2.112,0
134,1,neato,1.64,0
135,3,sfdp,15.476,0
136,3,neato,8.382,0
137,3,kamada_kawai,17.279,0
138,3,fa2,17.932,0
139,3,kamada_kawai,26.046,0
140,3,neato,12.269,0
141,3,fa2,10.311,0
142,3,fa2,40.1,0
143,3,kamada_kawai,22.463,0
144,3,fa2,11.331,0
145,3,sfdp,3.333,0
146,3,sfdp,15.715,0
147,3,neato,4.711,0
148,3,kamada_kawai,12.874,0
149,3,neato,13.105,0
150,3,kamada_kawai,11.252,0
151,3,kamada_kawai,7.41,0
152,3,kamada_kawai,9.16,0
153,3,kamada_kawai,8.662,0
154,3,kamada_kawai,2.097,0
155,3,kamada_kawai,23.329,0
156,3,kamada_kawai,11.402,0
157,3,kamada_kawai,13.086,0
158,3,sfdp,28.603,0
159,3,fdp,15.628,0
160,3,neato,29.594,0
161,3,kamada_kawai,6.771,0
162,3,kamada_kawai,6.23,0
163,3,neato,5.056,0
164,3,fdp,5.495,0
165,3,kamada_kawai,7.208,0
166,3,kamada_kawai,13.04,0
167,3,fdp,5.639,0
168,3,sfdp,27.012,0
169,3,kamada_kawai,28.543,0
170,3,neato,8.319,0
171,3,neato,2.173,0
172,3,sfdp,3.809,0
173,3,kamada_kawai,3.456,0
174,3,neato,4.021,0
175,3,fa2,15.258,0
176,3,fa2,10.352,0
177,1,neato,11.569,0
178,1,kamada_kawai,8.644,0
179,1,kamada_kawai,5.567,0
180,1,kamada_kawai,9.582,0
181,1,kamada_kawai,4.232,0
182,1,neato,4.28,0
183,1,neato,4.946,0
184,1,kamada_kawai,6.641,0
185,1,neato,9.702,0
186,1,neato,7.11,0
187,1,neato,4.581,0
188,1,kamada_kawai,6.244,0
189,1,kamada_kawai,4.684,0
190,1,kamada_kawai,5.716,0
191,1,kamada_kawai,9.072,0
192,1,kamada_kawai,11.332,0
193,1,kamada_kawai,21.415,1
194,1,kamada_kawai,6.113,0
195,1,kamada_kawai,9.048,0
196,1,kamada_kawai,11.426,0
197,1,neato,7.592,0
198,1,neato,8.127,0
199,1,neato,14.929,0
200,1,neato,4.408,0
201,1,fdp,9.081,0
202,1,sfdp,5.791,0
203,1,kamada_kawai,11.708,0
204,1,kamada_kawai,11.619,0
205,1,kamada_kawai,12.155,1
206,1,neato,4.664,0
207,1,neato,6.767,0
208,1,kamada_kawai,3.965,0
209,1,neato,5.27,0
210,1,kamada_kawai,5.252,0
211,1,kamada_kawai,53.643,0
212,1,fdp,25.625,0
213,1,kamada_kawai,8.471,0
214,1,fdp,18.968,1
215,1,fdp,6.722,0
216,1,neato,16.084,0
217,1,neato,4.317,0
218,1,fdp,48.677,0
219,1,neato,7.329,0
220,1,neato,8.521,0
221,1,neato,9.183,0
222,1,neato,11.71,0
223,1,sfdp,6.913,0
224,1,neato,12.887,0
225,1,sfdp,9.926,0
226,1,neato,7.782,0
227,1,fdp,5.707,0
228,1,sfdp,3.745,0
229,1,kamada_kawai,10.807,0
230,1,neato,15.22,0
231,1,kamada_kawai,8.057,0
232,1,kamada_kawai,9.802,0
233,1,neato,8.222,0
234,1,neato,8.457,0
235,1,fdp,14.45,0
236,1,kamada_kawai,12.958,0
237,1,kamada_kawai,10.984,0
238,1,spring,22.767,0
239,1,kamada_kawai,8.001,0
240,1,kamada_kawai,11.835,0
241,1,neato,5.953,0
242,1,neato,13.254,0
243,1,fa2,18.444,1
244,1,kamada_kawai,9.247,0
245,1,kamada_kawai,5.84,0
246,1,kamada_kawai,12.815,0
247,1,fdp,6.861,0
248,1,neato,8.575,0
249,1,kamada_kawai,7.534,0
250,1,kamada_kawai,15.982,0
251,1,neato,31.111,0
252,1,neato,4.384,0
253,1,neato,10.722,0
254,1,kamada_kawai,16.354,0
255,1,neato,10.826,0
256,1,neato,13.311,0
257,1,kamada_kawai,5.375,0
258,1,kamada_kawai,4.429,0
259,1,kamada_kawai,5.385,0
260,1,fa2,7.29,0
261,1,neato,7.969,0
262,1,kamada_kawai,2.666,0
263,1,neato,4.46,0
264,1,neato,6.109,0
265,1,neato,7.875,0
266,1,fdp,27.203,0
267,1,sfdp,5.957,0
268,1,neato,13.748,0
269,1,neato,5.439,0
270,1,fdp,7.792,0
271,1,kamada_kawai,6.981,0
272,1,fa2,5.329,0
273,1,neato,5.018,0
274,1,neato,8.29,0
275,1,neato,6.488,0
276,1,kamada_kawai,9.503,0
277,1,kamada_kawai,10.565,0
278,1,neato,9.238,0
279,1,kamada_kawai,9.959,0
280,1,kamada_kawai,5.628,0
281,1,neato,4.812,0
282,1,neato,17.681,0
283,1,kamada_kawai,7.157,0
284,1,kamada_kawai,9.665,0
285,1,neato,5.792,0
286,1,neato,15.602,0
287,1,sfdp,9.846,0
288,1,kamada_kawai,8.268,0
289,1,neato,12.068,0
290,1,kamada_kawai,11.517,0
291,1,fa2,12.37,0
292,1,sfdp,13.663,0
293,1,fdp,13.569,0
294,1,neato,17.124,0
295,1,kamada_kawai,16.762,0
296,1,neato,3.826,0
297,1,kamada_kawai,18.243,0
298,1,fdp,17.075,0
299,1,kamada_kawai,17.742,0
300,1,sfdp,21.68,0
301,1,neato,6.077,0
302,1,kamada_kawai,13.906,0
303,1,neato,11.268,0
304,1,neato,17.988,0
305,1,neato,7.914,0
306,1,neato,17.633,0
307,1,kamada_kawai,7.651,0
308,1,neato,11.038,0
309,1,kamada_kawai,15.803,0
310,1,kamada_kawai,8.901,0
311,1,pmds,6.547,0
312,1,neato,13.862,0
313,1,neato,12.979,0
314,1,neato,6.038,0
315,1,kamada_kawai,6.842,0
316,1,kamada_kawai,8.979,0
317,1,neato,17.088,0
318,1,kamada_kawai,26.306,0
319,1,sfdp,1.651,0
320,1,spring,2.587,0
321,1,kamada_kawai,2.162,0
322,1,kamada_kawai,2.012,0
323,1,kamada_kawai,1.71,0
324,1,neato,1.787,0
325,1,kamada_kawai,2.066,0
326,1,kamada_kawai,2.179,0
327,1,kamada_kawai,2.855,0
328,1,neato,2.115,0
329,1,kamada_kawai,2.217,0
330,1,kamada_kawai,2.828,0
331,1,fdp,4.097,0
332,1,neato,3.519,0
333,1,spring,2.063,0
334,1,spring,1.301,0
335,1,kamada_kawai,1.72,0
336,1,neato,1.751,0
337,1,kamada_kawai,1.609,0
338,1,kamada_kawai,1.981,0
339,1,neato,2.26,0
340,1,kamada_kawai,5.076,0
341,1,neato,3.967,0
342,1,neato,4.547,0
343,1,neato,2.827,0
344,1,neato,2.148,0
345,1,neato,1.383,0
346,1,kamada_kawai,1.971,0
347,1,spring,1.357,0
348,1,neato,1.956,0
349,1,neato,1.807,0
350,1,kamada_kawai,2.629,0
351,1,neato,2.632,0
352,1,kamada_kawai,1.038,0
353,1,neato,1.205,0
354,1,kamada_kawai,4.134,0
355,1,neato,1.742,0
356,1,kamada_kawai,2.015,0
357,1,kamada_kawai,2.04,0
358,1,neato,2.953,0
359,1,neato,2.758,0
360,1,neato,4.079,0
361,1,neato,2.379,0
362,1,kamada_kawai,2.7,0
363,1,fdp,2.692,0
364,1,neato,1.47,0
365,1,spring,1.419,0
366,1,neato,1.277,0
367,1,neato,2.887,0
368,1,neato,1.856,0
369,1,neato,1.994,0
370,1,spring,3.516,0
371,1,kamada_kawai,2.186,0
372,1,kamada_kawai,1.387,0
373,1,kamada_kawai,2.12,0
374,1,neato,2.033,0
375,1,fa2,1.48,0
376,1,kamada_kawai,3.324,0
377,1,fa2,4.259,0
378,1,kamada_kawai,3.258,0
379,1,neato,6.153,0
380,1,kamada_kawai,3.877,0
381,1,kamada_kawai,1.963,0
382,1,kamada_kawai,2.56,0
383,1,neato,2.353,0
384,1,fdp,2.342,0
385,1,kamada_kawai,1.075,0
386,1,neato,2.379,0
387,1,neato,1.978,0
388,1,fdp,2.712,0
389,1,pmds,23.618,0
390,1,kamada_kawai,2.52,0
391,1,fa2,5.762,0
392,1,kamada_kawai,3.027,0
393,1,kamada_kawai,2.638,0
394,1,sfdp,3.475,0
395,1,kamada_kawai,1.643,0
396,1,kamada_kawai,1.91,0
397,1,kamada_kawai,1.97,0
398,1,neato,2.101,0
399,1,neato,1.866,0
400,1,pmds,2.613,0
401,1,kamada_kawai,4.905,0
402,1,neato,3.147,0
403,1,neato,2.209,0
404,1,sfdp,3.896,0
405,1,fa2,2.782,0
