graph_id,user_id,chosen_layout,seconds_spent,is_hard
1,10,kamada_kawai,30.432,1
1,13,kamada_kawai,6.254,0
2,1,neato,8.787,0
2,13,kamada_kawai,2.739,0
3,1,kamada_kawai,8.943,0
3,13,kamada_kawai,2.332,0
4,1,neato,12.278,0
4,13,neato,6.106,0
5,1,kamada_kawai,16.167,0
5,13,neato,3.306,0
6,1,kamada_kawai,4.835,0
6,13,neato,2.914,0
7,2,kamada_kawai,42.089,0
7,13,kamada_kawai,5.18,0
8,2,neato,25.459,0
8,3,kamada_kawai,69.924,1
9,2,fdp,104.288,0
9,3,spring,23.438,0
10,2,neato,11.629,0
10,3,kamada_kawai,18.602,0
11,2,kamada_kawai,8.952,0
11,3,kamada_kawai,45.227,0
12,2,kamada_kawai,5.737,0
12,13,neato,2.878,0
13,2,kamada_kawai,4.514,0
13,13,neato,2.174,0
14,2,neato,31.935,0
14,3,neato,89.325,0
15,2,kamada_kawai,350.873,0
15,3,neato,16.095,0
16,3,fa2,30.974,0
16,13,neato,10.671,0
17,3,sfdp,42.374,0
17,13,neato,2.322,0
18,3,fa2,7.224,0
18,13,kamada_kawai,3.604,0
19,3,kamada_kawai,13.773,0
19,13,neato,2.881,0
20,3,neato,66.363,0
20,13,kamada_kawai,8.963,0
21,3,kamada_kawai,12.487,0
21,13,fdp,3.636,0
22,3,neato,29.019,0
22,13,kamada_kawai,7.199,0
23,3,kamada_kawai,27.326,0
23,13,kamada_kawai,3.534,0
24,2,kamada_kawai,4.132,0
24,13,neato,5.775,0
25,2,neato,36.194,0
25,13,fa2,2.517,0
26,2,neato,22.334,0
26,13,kamada_kawai,8.035,0
27,2,kamada_kawai,5.29,0
27,13,kamada_kawai,6.569,0
28,2,kamada_kawai,8.872,0
28,13,kamada_kawai,3.01,0
29,2,kamada_kawai,8.526,0
29,13,kamada_kawai,3.72,0
30,2,neato,6.679,0
30,13,neato,4.667,0
31,2,neato,2.578,0
31,13,neato,2.972,0
32,2,kamada_kawai,7.059,0
32,13,neato,1.713,0
33,2,neato,4.258,0
33,13,kamada_kawai,2.878,0
34,2,kamada_kawai,9.656,0
34,13,neato,2.101,0
35,2,fdp,8.702,0
35,13,kamada_kawai,2.215,0
36,2,neato,54.108,0
36,13,neato,2.012,0
37,2,kamada_kawai,25.269,0
37,13,fa2,2.901,0
38,2,neato,9.436,0
38,13,neato,4.327,0
39,2,neato,9.756,0
39,13,sfdp,3.617,0
40,2,neato,5.603,0
40,13,kamada_kawai,5.414,0
41,3,neato,25.623,0
41,13,neato,2.544,0
42,3,neato,13.663,0
42,13,kamada_kawai,4.216,0
43,3,spring,22.191,0
43,13,neato,5.913,0
44,3,fa2,12.731,0
44,13,kamada_kawai,3.055,0
45,3,neato,10.851,0
45,13,kamada_kawai,6.665,0
46,3,neato,7.266,0
46,13,neato,2.907,0
47,3,kamada_kawai,8.634,0
47,13,neato,2.396,0
48,1,neato,6.791,0
48,3,fa2,1378.45,0
49,1,sfdp,10.14,0
49,13,kamada_kawai,2.586,0
50,1,kamada_kawai,7.005,0
50,13,kamada_kawai,4.679,0
51,3,kamada_kawai,13.466,0
51,13,neato,3.849,0
52,3,fdp,15.593,0
52,13,fdp,13.908,0
53,3,sfdp,32.583,0
53,13,fdp,10.434,0
54,3,sfdp,17.619,0
54,13,kamada_kawai,14.852,0
55,3,kamada_kawai,5.769,0
55,13,neato,4.74,0
56,3,neato,98.212,0
56,13,kamada_kawai,7.339,0
57,3,neato,11.407,0
57,13,fdp,3.8,0
58,3,kamada_kawai,8.332,0
58,13,neato,1.799,0
59,3,neato,12.415,0
59,13,neato,5.145,0
60,3,sfdp,12.326,0
60,13,kamada_kawai,3.252,0
61,3,fdp,42.373,0
61,13,kamada_kawai,3.486,0
62,3,neato,39.763,0
62,13,neato,8.564,0
63,3,neato,20.342,0
63,13,neato,2.309,0
64,3,fa2,2.627,0
64,13,neato,3.119,0
65,3,fa2,5.992,0
65,13,kamada_kawai,6.79,0
66,3,kamada_kawai,5.163,0
66,13,kamada_kawai,2.756,0
67,3,kamada_kawai,10.703,0
67,13,neato,1010.31,0
68,3,kamada_kawai,4.574,0
68,13,kamada_kawai,3.127,0
69,3,kamada_kawai,6.272,0
69,13,kamada_kawai,3.878,0
70,3,neato,7.964,0
70,13,kamada_kawai,1.989,0
71,1,neato,3.592,0
71,13,neato,5.422,0
72,1,neato,3.272,0
72,13,kamada_kawai,13.365,0
73,1,kamada_kawai,2.92,0
73,13,neato,4.35,0
74,1,kamada_kawai,3.176,0
74,13,kamada_kawai,10.782,1
75,1,kamada_kawai,1.797,0
75,13,neato,5.671,0
76,1,neato,2.239,0
76,13,pmds,13.156,1
77,1,kamada_kawai,2.039,0
77,13,kamada_kawai,23.968,0
78,1,kamada_kawai,1.936,0
78,13,spring,38.632,0
79,1,neato,2.781,0
79,13,kamada_kawai,9.031,0
80,1,kamada_kawai,2.689,0
80,13,fdp,7.666,0
81,1,neato,2.403,0
81,13,kamada_kawai,5.34,0
82,1,neato,15.193,0
82,13,neato,7.627,0
83,1,neato,12.43,0
83,13,neato,8.234,0
84,1,kamada_kawai,2.392,0
84,13,kamada_kawai,23.561,0
85,1,sfdp,6.037,0
85,13,sfdp,7.88,0
86,1,kamada_kawai,4.158,0
86,13,fa2,4.709,0
87,1,fdp,3.001,0
87,13,neato,6.574,0
88,1,neato,2.53,0
88,13,fa2,5.054,0
89,1,neato,1.584,0
89,13,neato,21.698,0
90,1,kamada_kawai,8.708,0
90,13,kamada_kawai,2.447,0
91,1,neato,19.245,1
91,13,kamada_kawai,1.843,0
92,1,sfdp,8.949,0
92,13,fa2,2.972,0
93,1,neato,14.233,1
93,13,neato,8.149,0
94,1,kamada_kawai,14.237,1
94,13,spring,8.018,0
95,1,neato,7.909,0
95,13,sfdp,2.62,0
96,1,fa2,26.119,0
96,13,fdp,3.019,0
97,1,kamada_kawai,6.138,0
97,13,kamada_kawai,2.429,0
98,1,neato,11.388,0
98,13,kamada_kawai,2.647,0
99,1,kamada_kawai,12.28,1
99,13,neato,2.456,0
100,1,kamada_kawai,11.682,0
100,13,neato,1.682,0
101,1,neato,11.298,0
101,13,fa2,3.782,0
102,1,neato,1.956,0
102,13,neato,4.256,0
103,1,kamada_kawai,4.199,0
103,13,kamada_kawai,4.376,0
104,1,kamada_kawai,1.717,0
104,13,kamada_kawai,4.459,0
105,1,kamada_kawai,2.027,0
105,13,neato,2.923,0
106,1,fdp,2.272,0
106,13,neato,16.355,0
107,1,neato,3.453,0
107,13,neato,5.473,0
108,1,fa2,1.803,0
108,13,fa2,17.813,0
109,1,fdp,1.729,0
109,13,kamada_kawai,4.282,0
110,1,kamada_kawai,1.448,0
110,13,neato,3.799,0
111,1,neato,2.548,0
111,13,kamada_kawai,3.664,0
112,1,neato,1.969,0
112,13,fdp,3.667,0
113,1,fdp,3.731,0
113,13,fdp,2.7,0
114,1,kamada_kawai,2.159,0
114,13,fa2,6.596,0
115,1,kamada_kawai,2.681,0
115,13,neato,6.453,0
116,1,kamada_kawai,2.55,0
116,13,sfdp,2.597,0
117,1,kamada_kawai,3.596,0
117,13,kamada_kawai,2.665,0
118,1,neato,2.522,0
118,13,pmds,3.679,0
119,1,neato,4.08,0
119,13,kamada_kawai,5.837,0
120,1,kamada_kawai,3.112,0
120,13,neato,4.159,0
121,1,kamada_kawai,6.196,0
121,13,kamada_kawai,3.039,0
122,1,kamada_kawai,2.101,0
122,13,neato,5.448,0
123,1,fdp,1.565,0
123,13,sfdp,18.474,0
124,1,neato,1.946,0
124,13,neato,3.143,0
125,1,neato,2.014,0
125,13,fa2,4.894,0
126,1,kamada_kawai,1.936,0
